id,kind,zone,worldX,worldZ,lat,lon,areaKm2,sizeX,sizeZ
Z01,zone,Z01,-26715.6,421672.7,7.01180,72.92133,303.7,23510.9,22794.1
Z02,zone,Z02,-4143.4,406901.3,6.88779,73.16039,349.0,35195.3,18607.7
Z03,zone,Z03,-17318.8,379641.4,6.60994,72.97259,872.1,37648.7,43116.9
Z04,zone,Z04,-57035.2,345292.5,6.31441,72.61676,287.3,20357.8,28951.0
Z05,zone,Z05,-3623.3,335358.3,6.23000,73.13516,1622.2,47923.4,59781.8
Z06,zone,Z06,-22581.0,306256.9,5.97046,72.94729,6.5,3409.6,3122.7
Z07,zone,Z07,18895.1,288319.4,5.82041,73.31565,1098.3,42177.8,41397.4
Z08,zone,Z08,-24075.5,266905.6,5.62287,72.93847,1279.2,30316.5,66128.9
Z09,zone,Z09,39033.3,241889.9,5.40107,73.49805,726.0,37312.6,35490.5
Z10,zone,Z10,-17478.2,234672.1,5.33314,73.01503,157.2,23452.5,10440.6
Z11,zone,Z11,-18831.9,217786.6,5.14321,72.97683,988.4,43427.6,33328.7
Z12,zone,Z12,34068.3,194979.5,4.96317,73.45817,9.0,4115.7,2984.4
Z13,zone,Z13,-24923.5,182756.9,4.84898,72.92687,124.9,18360.6,9193.3
Z14,zone,Z14,31744.7,171732.4,4.75101,73.43876,95.2,15081.2,8690.2
Z15,zone,Z15,40298.9,136355.3,4.43713,73.53618,1627.6,43602.1,60062.7
Z16,zone,Z16,-25927.6,134750.8,4.41877,72.91666,7.9,3478.6,2981.1
Z17,zone,Z17,-18878.4,121367.2,4.29844,72.97911,66.4,9675.2,8837.2
Z18,zone,Z18,39899.9,107875.2,4.17627,73.50916,1.9,1956.2,1341.3
Z19,zone,Z19,-34619.9,101351.0,4.09549,72.83144,1019.1,30385.2,43037.3
Z20,zone,Z20,31959.1,86247.8,3.96993,73.43264,569.0,22241.5,36392.8
Z21,zone,Z21,-34733.1,51460.5,3.68554,72.84056,1361.0,33560.8,48954.2
Z22,zone,Z22,42068.1,31653.5,3.49443,73.40878,1145.8,55662.8,42488.8
Z23,zone,Z23,31705.2,5909.4,3.25445,73.43644,54.4,9792.5,7408.6
Z24,zone,Z24,-24244.8,-238.5,3.18783,72.93194,641.6,27540.5,31551.8
Z25,zone,Z25,37660.9,-24831.4,2.96132,73.49442,1089.7,34177.9,48990.7
Z26,zone,Z26,-23829.2,-39935.6,2.83429,72.92877,777.6,24301.8,39260.0
Z27,zone,Z27,-2675.3,-90233.5,2.36179,73.13404,1794.1,55986.5,45227.8
Z28,zone,Z28,31265.6,-137321.8,1.95554,73.39912,922.2,39469.9,39901.3
Z29,zone,Z29,20143.2,-275663.8,0.63411,73.28159,2010.1,61923.1,65694.3
Z30,zone,Z30,2324.3,-318240.7,0.37437,73.24339,1509.4,62903.3,44958.0
Z31,zone,Z31,30780.9,-386621.1,-0.29080,73.42124,24.4,6095.7,6515.1
Z32,zone,Z32,1532.5,-422671.0,-0.64167,73.16281,165.4,19507.8,15121.3
Z32-057,island,Z32,1133.9,-431717.8,-0.70424,73.16018,0.0001,12.2,12.2
